"分享、查詢台灣所有公司的防疫政策
https://reurl.cc/Nraz1x",<---複製左方文字，用Line、FB分享給你的朋友們(較順暢的網頁版),資料原始檔在此,填寫問卷點這裡,"*雖是匿名調查，但請勿造謠或提供錯誤資訊，以免影響防疫。
*請勿進行人身攻擊或揭露他人個資。
*由於資料來自匿名問卷，若對資訊正確性有任何疑問，請向相關公司查證。
*若接獲通知，稱回覆之資訊錯誤，將把該回覆以紅底標示，提醒公眾需特別注意。
*若接獲通知，及該回覆確實涉及人身攻擊或個資，將刪除有問題的文字。(所有修改都會紀錄在""附註""欄位)
*也歡迎公司行號填寫問卷說明防疫政策。
*因防疫政策可能變動，請參考「時間戳記」欄位，以確認資訊是否即時。",,,
時間戳記,公司名稱,工作所在地,是否開放在家上班,公司其他防疫政策,對公司防疫政策的滿意度 (1至5分),(選填) 對公司的讚美或批評,備註
2021/5/23 上午 12:46:31,某醫學股份有限公司,北部 (台北、新北、基隆、桃園、新竹),開放自由在家上班 (只保留必要人員至公司上班),強制配戴口罩,5,積極應對嚴重的疫情。,
2021/5/23 上午 1:10:48,鈊象電子股份有限公司,北部 (台北、新北、基隆、桃園、新竹),分流在家上班(例如分為兩組輪流上班),"量測體溫, 強制配戴口罩, 辦公區域消毒, 減少會議及出差",4,,
2021/5/23 上午 7:23:14,OTO,北部 (台北、新北、基隆、桃園、新竹),分流在家上班(例如分為兩組輪流上班),"量測體溫, 強制配戴口罩, 減少會議及出差, 加大座位間距或隔離裝置",4,讚美:有另外需求者可提出完全在家上班，也可帶受照顧者到公司邊上班邊照顧。批評:夫妻同在公司因有小孩在家需要照顧，夫妻編列在不同組，AB組會有混班情況。,
2021/5/23 上午 7:29:51,HTC,北部 (台北、新北、基隆、桃園、新竹),開放自由在家上班 (只保留必要人員至公司上班),"量測體溫, 強制配戴口罩, 辦公區域消毒, 減少會議及出差, 每日要求填寫防疫狀態表；全額補助疫苗；疫苗假(公假一天)",5,公司對於防疫標準優於同業，保護員工也維持公司競爭力,
2021/5/23 上午 8:28:32,臺北市政府,北部 (台北、新北、基隆、桃園、新竹),有條件在家上班(例如依居住地、職務內容、或是要特別申請等),"量測體溫, 強制配戴口罩, 辦公區域消毒, 減少會議及出差",3,,
2021/5/23 上午 8:29:16,光寶科技,北部 (台北、新北、基隆、桃園、新竹),分流在家上班(例如分為兩組輪流上班),"量測體溫, 強制配戴口罩, 辦公區域消毒, 減少會議及出差, 每日填寫回報個人健康調查表",4,其實很替員工著想，但辦公室者若能全面遠端上班比較好，可避免員工外出上班，增加染疫風險,
2021/5/23 上午 8:37:28,國泰人壽,北部 (台北、新北、基隆、桃園、新竹),開放自由在家上班 (只保留必要人員至公司上班),"量測體溫, 強制配戴口罩, 辦公區域消毒, 減少會議及出差",5,居家辦公時可申請配筆電，迅速回覆vpn連線問題，即使是週末,
2021/5/23 上午 8:40:43,行動基因,北部 (台北、新北、基隆、桃園、新竹),開放自由在家上班 (只保留必要人員至公司上班),"量測體溫, 強制配戴口罩, 辦公區域消毒, 減少會議及出差",4,,
2021/5/23 上午 8:45:07,鼎翰科技,北部 (台北、新北、基隆、桃園、新竹),分流在家上班(例如分為兩組輪流上班),"量測體溫, 強制配戴口罩, 辦公區域消毒, 減少會議及出差",3,棒！繼續加油！,
